full_name,H,diameter,albedo,epoch,e,a,q,i,ad,moid,condition_code,rms
     1 Ceres (A801 AA),3.34,939.4,0.09,2461000.5,0.0795763199440841,2.765615651508659,2.545538135581839,10.58788658206854,2.985693167435478,1.58055,0.0,0.43153
     2 Pallas (A802 FA),4.11,513.0,0.155,2461000.5,0.2306429787720982,2.76992582509809,2.131061881819705,34.9283268715924,3.408789768376475,1.22643,0.0,0.35832
     3 Juno (A804 RA),5.19,246.596,0.214,2461000.5,0.2558257725543152,2.670879058906207,1.987599360262385,12.98603961477441,3.35415875755003,1.03829,0.0,0.35575
     4 Vesta (A807 FA),3.25,522.77,0.4228,2461000.5,0.0901676450473863,2.361541280084789,2.148606664177354,7.144060599543863,2.574475895992224,1.13464,0.0,0.40095
     5 Astraea (A845 XA),6.99,106.699,0.274,2461000.5,0.1875086167326962,2.576864644873385,2.093680319805786,5.359248120907578,3.060048969940984,1.10609,0.0,0.48289
     6 Hebe (A847 NA),5.61,185.18,0.2679,2461000.5,0.2022300641974527,2.425469295614665,1.934966484253561,14.73615054631194,2.915972106975769,0.975628,0.0,0.41737
     7 Iris (A847 PA),5.67,199.83,0.2766,2461000.5,0.2302133123218598,2.386528966120767,1.837118227878042,5.518812907722005,2.935939704363492,0.849214,0.0,0.35456
     8 Flora (A847 UA),6.61,147.491,0.226,2461000.5,0.1563337133955282,2.201307162677431,1.857168639611894,5.890326395333704,2.545445685742967,0.874031,0.0,0.54806
     9 Metis (A848 HA),6.34,190.0,0.118,2461000.5,0.122564494529266,2.386566544262376,2.094058222104401,5.577707861822033,2.679074866420352,1.10863,0.0,0.43895
    10 Hygiea (A849 GA),5.65,407.12,0.0717,2461000.5,0.1082238330841652,3.147591335335692,2.806946936043158,3.832937411259753,3.488235734628226,1.79554,0.0,0.48086
    11 Parthenope (A850 JA),6.73,142.887,0.191,2461000.5,0.100477347195008,2.453167330564828,2.206679584964215,4.635746375554944,2.699655076165441,1.19277,0.0,0.36566
    12 Victoria (A850 RA),7.29,115.087,0.163,2461000.5,0.2199307008723753,2.333839594347856,1.820556616639232,8.374034560714689,2.847122572056481,0.824261,0.0,0.51009
    13 Egeria (A850 VA),6.91,202.636,0.049,2461000.5,0.0846819962190552,2.576258754819395,2.358096020684471,16.52553209910489,2.794421488954319,1.4356,0.0,0.50803
    14 Irene (A851 KA),6.54,152.0,0.159,2461000.5,0.162670164934802,2.587873257437407,2.166903487819701,9.129549914703986,3.008843027055114,1.19004,0.0,0.52515
    15 Eunomia (A851 OA),5.42,231.689,0.248,2461000.5,0.1877813307912034,2.642186113941366,2.146032889267418,11.76143490882618,3.138339338615315,1.1888,0.0,0.43471
    16 Psyche (A852 FA),6.2,222.0,0.1203,2461000.5,0.1343462202634327,2.923314514376521,2.530578258728803,3.097291662719076,3.316050770024239,1.53323,0.0,0.17629
    17 Thetis (A852 HA),7.92,84.899,0.193,2461000.5,0.1312583946368459,2.472822587765194,2.148243864673404,5.59392352875983,2.797401310856984,1.13512,0.0,0.35232
    18 Melpomene (A852 MA),6.35,139.594,0.181,2461000.5,0.2179619785208267,2.295556955920155,1.795212820000552,10.13085816291111,2.795901091839757,0.811625,0.0,0.44082
    19 Fortuna (A852 QA),7.49,200.0,0.037,2461000.5,0.1580361840279985,2.44206344364985,2.056129055861155,1.573309765366557,2.827997831438545,1.06155,0.0,0.33659
    20 Massalia (A852 SA),6.54,135.68,0.241,2461000.5,0.1437635652866909,2.40840783303004,2.062166536289249,0.7092558560319595,2.754649129770832,1.07875,0.0,0.32604
    21 Lutetia (A852 VA),7.49,98.0,0.19,2461000.5,0.1647832771539116,2.434023677785547,2.032937279489828,3.06456868453339,2.835110076081266,1.02311,0.0,0.36774
    22 Kalliope (A852 WA),6.79,167.536,0.166,2461000.5,0.0988797843342848,2.909465730671522,2.62177838669473,13.70168290418548,3.197153074648314,1.63477,0.0,0.26425
    23 Thalia (A852 XA),7.13,107.53,0.2536,2461000.5,0.2312417785590598,2.628877066434566,2.020970857979113,10.1082172219274,3.236783274890018,1.05804,0.0,0.41809
    24 Themis (A853 GA),7.22,198.0,0.067,2461000.5,0.1153430068927704,3.143254184754319,2.780701795656472,0.7366995185411344,3.505806573852166,1.79221,0.0,0.45021
    25 Phocaea (A853 GB),7.87,61.054,0.35,2461000.5,0.2540340255637873,2.400295424626279,1.790538715366125,21.60662856226381,3.010052133886433,0.924264,0.0,0.36321
    26 Proserpina (A853 JA),7.48,94.8,0.1966,2461000.5,0.0886309327831934,2.655142704165173,2.419814929622523,3.554525040584192,2.890470478707823,1.40576,0.0,0.43395
    27 Euterpe (A853 VA),7.03,96.0,0.215,2461000.5,0.1715637307579128,2.347173045847609,1.944483281367579,1.583323524855904,2.749862810327638,0.960672,0.0,0.49514
    28 Bellona (A854 EA),7.23,120.9,0.1763,2461000.5,0.1489864505127287,2.777283790611091,2.363506136581408,9.423244062671758,3.191061444640773,1.37942,0.0,0.48457
    29 Amphitrite (A854 EB),5.97,189.559,0.216,2461000.5,0.0733502740305424,2.554121108737986,2.366775625504862,6.077438247546309,2.74146659197111,1.38468,0.0,0.51385
    30 Urania (A854 OA),7.57,92.787,0.192,2461000.5,0.1267293711847307,2.365630917523295,2.06583599889041,2.093698420777421,2.66542583615618,1.07272,0.0,0.44183
    31 Euphrosyne (A854 RA),6.81,267.08,0.053,2461000.5,0.2159206687414699,3.161505296186658,2.478870958404336,26.31223533623652,3.84413963396898,1.59082,0.0,0.44844
    32 Pomona (A854 UA),7.76,80.76,0.2564,2461000.5,0.0813066906336968,2.587847793956288,2.377438453965989,5.520820473108212,2.798257133946587,1.37448,0.0,0.31648
