rowid,pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,ra,dec,sy_dist,sy_plx
1,11 Com b,11 Com,b,Radial Velocity,2007,323.21,1.178,4874.0,13.76,2.09,185.1787793,17.7932516,93.1846,10.7104
2,11 Com b,11 Com,b,Radial Velocity,2007,8.46321,1.21,4651.4349999999995,0.77,2.6,185.1787793,17.7932516,93.1846,10.7104
3,11 Com b,11 Com,b,Radial Velocity,2007,326.03,1.29,4742.0,19.0,2.7,185.1787793,17.7932516,93.1846,10.7104
4,11 UMi b,11 UMi,b,Radial Velocity,2009,8.46321,1.51,4651.4349999999995,0.77,1.7,229.2745954,71.8239428,125.321,7.95388
5,11 UMi b,11 UMi,b,Radial Velocity,2009,516.22,1.54,4340.0,24.08,1.8,229.2745954,71.8239428,125.321,7.95388
6,11 UMi b,11 UMi,b,Radial Velocity,2009,516.21997,1.53,4213.0,29.79,2.78,229.2745954,71.8239428,125.321,7.95388
7,14 And b,14 And,b,Radial Velocity,2008,185.84,0.83,4813.0,11.0,2.2,352.82415,39.2358367,75.4392,13.2289
8,14 And b,14 And,b,Radial Velocity,2008,186.76,0.775,4888.0,11.55,1.78,352.82415,39.2358367,75.4392,13.2289
9,14 And b,14 And,b,Radial Velocity,2008,8.46321,0.68,4651.4349999999995,0.77,1.2,352.82415,39.2358367,75.4392,13.2289
10,14 Her b,14 Her,b,Radial Velocity,2002,1773.4,2.77,4651.4349999999995,0.77,0.7315,242.6021014,43.8163621,17.9323,55.7363
11,14 Her b,14 Her,b,Radial Velocity,2002,1765.0389,2.774,4651.4349999999995,0.77,0.91,242.6021014,43.8163621,17.9323,55.7363
12,14 Her b,14 Her,b,Radial Velocity,2002,1796.4,2.8,5255.0,0.77,0.9,242.6021014,43.8163621,17.9323,55.7363
13,14 Her b,14 Her,b,Radial Velocity,2002,8.46321,2.73,4651.4349999999995,0.77,0.9,242.6021014,43.8163621,17.9323,55.7363
14,14 Her b,14 Her,b,Radial Velocity,2002,1773.40002,2.93,5338.0,0.93,0.9,242.6021014,43.8163621,17.9323,55.7363
15,14 Her b,14 Her,b,Radial Velocity,2002,1766.0,2.864,5280.0,1.00235,0.91,242.6021014,43.8163621,17.9323,55.7363
16,14 Her b,14 Her,b,Radial Velocity,2002,1766.41,2.83,5314.94,0.995819,0.969205,242.6021014,43.8163621,17.9323,55.7363
17,14 Her b,14 Her,b,Radial Velocity,2002,1724.0,2.82,4651.4349999999995,0.77,1.0,242.6021014,43.8163621,17.9323,55.7363
18,16 Cyg B b,16 Cyg B,b,Radial Velocity,1996,799.5,1.68,4651.4349999999995,0.77,0.7315,295.4656422,50.5168243,21.1397,47.2754
19,16 Cyg B b,16 Cyg B,b,Radial Velocity,1996,799.5,1.68,5747.0,1.12827,1.03,295.4656422,50.5168243,21.1397,47.2754
20,16 Cyg B b,16 Cyg B,b,Radial Velocity,1996,799.45,1.676,5711.97,1.159464,0.982996,295.4656422,50.5168243,21.1397,47.2754
21,16 Cyg B b,16 Cyg B,b,Radial Velocity,1996,800.8,1.6,5760.0,0.77,1.0,295.4656422,50.5168243,21.1397,47.2754
22,16 Cyg B b,16 Cyg B,b,Radial Velocity,1996,798.5,1.66,5750.0,1.13,1.08,295.4656422,50.5168243,21.1397,47.2754
23,16 Cyg B b,16 Cyg B,b,Radial Velocity,1996,798.5,1.681,5674.0,0.77,0.99,295.4656422,50.5168243,21.1397,47.2754
24,17 Sco b,17 Sco,b,Radial Velocity,2020,578.38,1.45,4157.0,25.92,1.22,243.4620874,-11.8377905,124.953,7.9805
25,18 Del b,18 Del,b,Radial Velocity,2008,8.46321,2.54,4651.4349999999995,0.77,2.1,314.6078375,10.8391378,76.222,13.0922
26,18 Del b,18 Del,b,Radial Velocity,2008,982.85,2.476,4980.0,8.8,2.1,314.6078375,10.8391378,76.222,13.0922
27,18 Del b,18 Del,b,Radial Velocity,2008,993.3,2.6,4979.0,8.5,2.3,314.6078375,10.8391378,76.222,13.0922
28,1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Imaging,2008,8.46321,330.0,4060.0,0.77,0.85,242.3762343,-21.0831403,139.135,7.15949
29,1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,Imaging,2008,8.46321,330.0,3993.0,1.31316,0.623,242.3762343,-21.0831403,139.135,7.15949
